"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","7","a","1819","3","122"
"incongruent","1","1","2","a","724","3","122"
"incongruent","1","2","4","l","639","2","122"
"congruent","1","2","4","l","636","6","122"
"incongruent","1","3","2","a","763","5","122"
"congruent","1","2","2","l","491","4","122"
"congruent","1","3","2","l","508","5","122"
"incongruent","1","3","3","a","784","6","122"
"incongruent","1","3","4","a","847","7","122"
"incongruent","1","4","2","a","812","6","122"
"congruent","1","1","3","l","507","4","122"
"congruent","1","2","3","l","460","5","122"
"congruent","1","3","2","l","498","5","122"
"incongruent","1","3","3","a","827","6","122"
"incongruent","1","2","4","l","483","2","122"
"incongruent","1","1","3","l","446","2","122"
"congruent","1","2","6","a","599","4","122"
"congruent","1","2","5","a","610","3","122"
"incongruent","1","2","3","a","787","5","122"
"incongruent","1","2","5","l","563","3","122"
"congruent","1","2","6","a","706","4","122"
"incongruent","1","4","2","a","509","6","122"
"congruent","1","2","2","l","463","4","122"
"congruent","1","1","4","l","450","5","122"
"incongruent","1","4","6","l","399","2","122"
"congruent","1","4","4","l","671","8","122"
"incongruent","1","1","5","l","523","4","122"
"incongruent","1","4","8","l","413","4","122"
"congruent","1","4","8","a","515","4","122"
"incongruent","1","3","5","l","461","2","122"
"congruent","1","3","5","a","481","2","122"
"congruent","1","3","4","l","442","7","122"
"incongruent","1","2","2","a","563","4","122"
"congruent","1","4","3","l","465","7","122"
"incongruent","1","1","3","a","575","4","122"
"congruent","1","2","4","a","766","2","122"
"congruent","1","3","3","l","486","6","122"
"incongruent","1","2","2","a","504","4","122"
"incongruent","1","4","7","l","481","3","122"
"incongruent","1","3","7","l","598","4","122"
"congruent","1","4","6","a","484","2","122"
"incongruent","1","3","2","a","497","5","122"
"incongruent","1","1","4","a","585","5","122"
"incongruent","1","3","7","l","455","4","122"
"incongruent","1","4","3","a","891","7","122"
"congruent","1","1","4","l","461","5","122"
"incongruent","1","3","6","l","588","3","122"
"incongruent","1","4","6","l","445","2","122"
"incongruent","1","4","8","l","466","4","122"
"incongruent","1","2","6","l","542","4","122"
"congruent","1","3","4","l","396","7","122"
"incongruent","1","2","5","l","508","3","122"
"congruent","1","3","5","a","433","2","122"
"incongruent","1","1","3","a","575","4","122"
"congruent","1","4","2","l","479","6","122"
"congruent","1","4","8","a","562","4","122"
"incongruent","1","1","4","l","418","3","122"
"incongruent","1","3","6","l","431","3","122"
"incongruent","1","3","4","a","460","7","122"
"incongruent","1","4","7","l","546","3","122"
"incongruent","1","1","2","a","468","3","122"
"incongruent","1","2","3","a","480","5","122"
"congruent","1","1","5","a","516","4","122"
"incongruent","1","2","4","a","412","6","122"
"congruent","1","2","4","l","357","6","122"
"incongruent","1","2","6","l","548","4","122"
"congruent","1","4","2","l","572","6","122"
"congruent","1","3","6","a","459","3","122"
"congruent","1","1","5","a","480","4","122"
"incongruent","1","3","5","l","410","2","122"
"congruent","1","2","4","a","419","2","122"
"incongruent","1","1","5","l","354","4","122"
"congruent","1","1","4","a","320","3","122"
"congruent","1","1","2","l","313","3","122"
"congruent","1","1","3","l","492","4","122"
"congruent","1","4","3","l","497","7","122"
"congruent","1","4","4","l","587","8","122"
"congruent","1","2","5","a","419","3","122"
"incongruent","0","4","3","l","498","7","122"
"congruent","0","4","7","l","6","3","122"
"incongruent","1","4","4","a","518","8","122"
"congruent","1","1","4","a","495","3","122"
"congruent","1","2","3","l","545","5","122"
"congruent","1","1","3","a","578","2","122"
"incongruent","0","2","4","l","467","6","122"
"congruent","1","3","7","a","613","4","122"
"congruent","1","3","7","a","1345","4","122"
"incongruent","1","1","4","a","561","5","122"
"incongruent","1","4","4","a","561","8","122"
"congruent","1","1","3","a","627","2","122"
"incongruent","1","1","3","l","473","2","122"
"incongruent","1","1","4","l","500","3","122"
"congruent","1","3","3","l","375","6","122"
"congruent","1","4","6","a","423","2","122"
"congruent","1","3","6","a","450","3","122"
"congruent","1","1","2","l","393","3","122"
"incongruent","1","3","4","a","816","7","122"
"congruent","1","3","2","l","493","5","122"
"congruent","1","1","4","a","559","3","122"
"congruent","1","2","4","l","384","6","122"
"incongruent","1","2","3","a","557","5","122"
"congruent","1","4","6","a","542","2","122"
"congruent","1","2","3","l","511","5","122"
"incongruent","1","1","5","l","481","4","122"
"incongruent","1","3","3","a","431","6","122"
"congruent","1","4","3","l","460","7","122"
"congruent","1","2","6","a","400","4","122"
"incongruent","1","4","4","a","399","8","122"
"incongruent","1","4","8","l","422","4","122"
"congruent","1","3","7","a","395","4","122"
"congruent","1","2","6","a","435","4","122"
"incongruent","1","2","5","l","400","3","122"
"congruent","1","3","3","l","432","6","122"
"incongruent","1","2","5","l","446","3","122"
"incongruent","1","4","2","a","399","6","122"
"incongruent","1","3","6","l","448","3","122"
"incongruent","1","3","3","a","398","6","122"
"congruent","1","2","4","a","588","2","122"
"congruent","1","3","6","a","371","3","122"
