congruity,correct,distance,leftStimulus,response,response_time,rightStimulus,subject_nr
incongruent,1,2,2,a,1771,4,2
incongruent,1,1,3,a,2027,4,2
congruent,1,3,3,l,680,6,2
incongruent,1,3,7,l,689,4,2
congruent,1,4,7,a,707,3,2
incongruent,1,4,2,a,1430,6,2
incongruent,1,1,5,l,656,4,2
incongruent,1,2,3,a,689,5,2
congruent,1,1,3,a,656,2,2
congruent,1,4,6,a,656,2,2
congruent,1,2,4,a,612,2,2
incongruent,1,3,2,a,869,5,2
congruent,1,4,3,l,535,7,2
incongruent,1,4,4,a,838,8,2
congruent,1,4,2,l,529,6,2
incongruent,1,4,6,l,631,2,2
congruent,1,4,3,l,496,7,2
congruent,1,1,3,l,479,4,2
incongruent,1,1,4,a,464,5,2
congruent,1,3,5,a,521,2,2
congruent,1,1,4,l,469,5,2
congruent,1,2,2,l,466,4,2
incongruent,1,4,3,a,561,7,2
congruent,1,3,3,l,442,6,2
congruent,1,1,4,a,535,3,2
congruent,1,1,2,l,454,3,2
congruent,1,4,7,a,446,3,2
congruent,1,2,4,l,462,6,2
incongruent,0,3,5,a,553,2,2
incongruent,1,1,4,l,755,3,2
congruent,1,1,5,a,529,4,2
incongruent,1,1,2,a,598,3,2
incongruent,1,2,6,l,557,4,2
incongruent,1,1,3,l,598,2,2
incongruent,1,2,6,l,685,4,2
incongruent,1,4,3,a,782,7,2
congruent,1,4,2,l,511,6,2
congruent,1,1,4,a,527,3,2
incongruent,1,3,4,a,617,7,2
congruent,1,4,8,a,589,4,2
congruent,1,3,5,a,555,2,2
congruent,1,3,6,a,513,3,2
incongruent,1,2,5,l,583,3,2
congruent,1,3,2,l,564,5,2
congruent,1,2,4,a,504,2,2
incongruent,1,3,6,l,562,3,2
incongruent,1,3,5,l,581,2,2
congruent,1,2,3,l,550,5,2
congruent,1,4,8,a,546,4,2
congruent,1,2,4,l,559,6,2
congruent,1,2,6,a,572,4,2
incongruent,1,3,2,a,522,5,2
incongruent,1,2,4,a,501,6,2
incongruent,1,4,7,l,557,3,2
incongruent,1,4,8,l,587,4,2
incongruent,1,2,2,a,722,4,2
incongruent,1,2,3,a,644,5,2
congruent,1,2,6,a,478,4,2
congruent,1,3,2,l,513,5,2
congruent,1,4,4,l,472,8,2
incongruent,0,4,8,a,433,4,2
congruent,1,1,4,l,468,5,2
congruent,1,2,5,a,495,3,2
incongruent,1,3,4,a,606,7,2
congruent,1,2,5,a,476,3,2
congruent,1,1,3,l,489,4,2
incongruent,1,1,3,l,510,2,2
incongruent,1,1,3,a,469,4,2
congruent,1,3,4,l,441,7,2
congruent,1,4,6,a,482,2,2
