"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","1","2","l","1406","3","5"
"congruent","1","1","5","a","799","4","5"
"incongruent","1","2","4","l","672","2","5"
"incongruent","1","3","3","a","645","6","5"
"congruent","1","3","3","l","514","6","5"
"congruent","1","2","6","a","967","4","5"
"congruent","1","3","7","a","737","4","5"
"incongruent","1","3","5","l","521","2","5"
"incongruent","1","3","6","l","636","3","5"
"congruent","1","4","6","a","649","2","5"
"congruent","1","2","4","a","699","2","5"
"congruent","1","1","5","a","684","4","5"
"incongruent","1","1","4","a","711","5","5"
"incongruent","1","4","4","a","659","8","5"
"congruent","1","2","4","a","717","2","5"
"congruent","1","4","8","a","633","4","5"
"incongruent","1","2","4","a","655","6","5"
"incongruent","1","4","6","l","518","2","5"
"incongruent","1","2","3","a","534","5","5"
"incongruent","1","1","2","a","730","3","5"
"congruent","1","2","5","a","729","3","5"
"incongruent","1","4","3","a","735","7","5"
"incongruent","1","1","3","a","798","4","5"
"incongruent","1","2","4","a","757","6","5"
"congruent","1","2","3","l","685","5","5"
"incongruent","1","3","4","a","792","7","5"
"incongruent","1","1","4","l","645","3","5"
"incongruent","1","3","6","l","696","3","5"
"incongruent","1","3","4","a","697","7","5"
"incongruent","1","3","7","l","536","4","5"
"incongruent","1","1","3","a","617","4","5"
"incongruent","1","3","5","l","453","2","5"
"incongruent","1","4","6","l","531","2","5"
"incongruent","1","1","4","l","558","3","5"
"congruent","1","1","4","l","551","5","5"
"incongruent","1","4","4","a","591","8","5"
"incongruent","1","4","8","l","456","4","5"
"congruent","1","2","2","l","504","4","5"
"incongruent","1","4","2","a","488","6","5"
"congruent","1","4","8","a","593","4","5"
"congruent","1","1","2","l","538","3","5"
"congruent","1","1","4","a","549","3","5"
"incongruent","1","1","2","a","504","3","5"
"congruent","1","2","4","l","530","6","5"
"incongruent","1","1","5","l","557","4","5"
"incongruent","1","3","7","l","1044","4","5"
"congruent","1","4","2","l","510","6","5"
"congruent","1","3","4","l","508","7","5"
"congruent","1","3","6","a","525","3","5"
"incongruent","1","3","2","a","536","5","5"
"congruent","1","3","4","l","514","7","5"
"congruent","1","3","2","l","524","5","5"
"congruent","1","4","3","l","576","7","5"
"congruent","1","3","3","l","605","6","5"
"incongruent","1","2","2","a","524","4","5"
"incongruent","1","2","3","a","583","5","5"
"congruent","1","1","4","l","435","5","5"
"congruent","1","4","2","l","536","6","5"
"congruent","1","1","3","a","469","2","5"
"congruent","1","1","4","a","427","3","5"
"incongruent","1","1","3","l","449","2","5"
"incongruent","1","4","7","l","488","3","5"
"congruent","1","3","2","l","469","5","5"
"congruent","1","4","6","a","420","2","5"
"incongruent","1","2","6","l","413","4","5"
"congruent","1","4","4","l","567","8","5"
"incongruent","1","2","5","l","520","3","5"
"congruent","1","1","3","l","487","4","5"
"congruent","1","2","5","a","433","3","5"
"incongruent","1","1","4","a","414","5","5"
"congruent","1","3","6","a","619","3","5"
"congruent","1","3","5","a","472","2","5"
"incongruent","1","2","2","a","942","4","5"
"congruent","1","4","7","a","532","3","5"
"congruent","1","2","2","l","447","4","5"
"incongruent","1","3","3","a","485","6","5"
"incongruent","1","2","5","l","389","3","5"
"incongruent","1","1","5","l","440","4","5"
"congruent","1","4","3","l","471","7","5"
"congruent","1","2","4","l","439","6","5"
"incongruent","1","2","6","l","603","4","5"
"incongruent","1","1","3","l","582","2","5"
"congruent","1","4","4","l","542","8","5"
"congruent","1","2","3","l","548","5","5"
"congruent","1","1","3","l","562","4","5"
"incongruent","1","2","4","l","570","2","5"
"congruent","1","4","7","a","442","3","5"
"incongruent","1","4","8","l","453","4","5"
"congruent","1","1","3","a","400","2","5"
"incongruent","0","4","2","l","488","6","5"
"incongruent","1","4","3","a","1204","7","5"
"incongruent","1","3","2","a","608","5","5"
"congruent","1","2","6","a","573","4","5"
"congruent","1","3","7","a","536","4","5"
"incongruent","1","4","7","l","657","3","5"
"congruent","1","3","5","a","488","2","5"
"congruent","1","3","4","l","919","7","5"
"congruent","1","1","3","l","454","4","5"
"incongruent","1","2","3","a","494","5","5"
"incongruent","1","1","2","a","445","3","5"
"incongruent","0","3","4","l","444","7","5"
"congruent","1","1","3","l","592","4","5"
"congruent","1","1","4","l","504","5","5"
"incongruent","1","4","2","a","509","6","5"
"incongruent","1","4","4","a","448","8","5"
"incongruent","1","3","4","a","491","7","5"
"incongruent","1","3","5","l","498","2","5"
"congruent","1","1","5","a","432","4","5"
"congruent","1","4","6","a","447","2","5"
"congruent","1","4","3","l","446","7","5"
"congruent","1","4","2","l","495","6","5"
"congruent","1","2","4","a","400","2","5"
"incongruent","1","4","4","a","428","8","5"
"incongruent","1","2","4","l","563","2","5"
"congruent","1","4","7","a","404","3","5"
"incongruent","1","1","5","l","386","4","5"
"congruent","1","4","4","l","497","8","5"
"congruent","1","1","4","a","393","3","5"
"incongruent","1","3","6","l","449","3","5"
"congruent","1","3","6","a","353","3","5"
"congruent","1","3","3","l","391","6","5"
"incongruent","1","3","7","l","451","4","5"
"incongruent","1","4","3","a","378","7","5"
"congruent","1","3","5","a","666","2","5"
"incongruent","1","4","6","l","510","2","5"
"congruent","1","2","6","a","479","4","5"
"congruent","1","4","6","a","468","2","5"
"congruent","1","3","2","l","371","5","5"
"congruent","1","2","4","l","484","6","5"
"incongruent","0","1","3","a","356","2","5"
"congruent","1","3","3","l","603","6","5"
"congruent","1","2","5","a","448","3","5"
"congruent","1","3","6","a","485","3","5"
"incongruent","1","1","2","a","525","3","5"
"incongruent","1","2","5","l","460","3","5"
"congruent","1","4","8","a","360","4","5"
"congruent","1","3","4","l","408","7","5"
"congruent","1","1","2","l","424","3","5"
"incongruent","0","1","4","a","482","3","5"
"incongruent","1","3","3","a","784","6","5"
"congruent","1","3","2","l","480","5","5"
"congruent","1","2","5","a","508","3","5"
"incongruent","1","3","6","l","407","3","5"
"incongruent","1","1","3","a","674","4","5"
"congruent","1","1","3","a","470","2","5"
"congruent","1","1","4","a","487","3","5"
